C01 - Bâtiments;;;;;;
Nature du contrat;Code de catégorie;Description de la catégorie;Catégorie;Code UNSPSC;Description du code UNSPSC;Description détaillée du code UNSPSC
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;72101701;Services de bétonnage ou de stucage;Services de bétonnage ou de stucage/Services de construction, de réparation et d'entretien d'immeubles
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;72101702;Services d'injection de coulis;Services d'injection de coulis/Services de construction, de réparation et d'entretien d'immeubles
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;72101703;Construction de trottoirs ou de bordures;Construction de trottoirs ou de bordures/Services de construction, de réparation et d'entretien d'immeubles
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;72101704;Ouvrages de fondation, dallage;Ouvrages de fondation, dallage/Services de construction, de réparation et d'entretien d'immeubles
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;72101800;Nettoyage extérieur;Nettoyage extérieur/Services de construction, de réparation et d'entretien d'immeubles
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;72101801;Nettoyage au jet de sable;Nettoyage au jet de sable/Services de construction, de réparation et d'entretien d'immeubles
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;72101802;Nettoyage au jet d'eau haute pression;Nettoyage au jet d'eau haute pression/Services de construction, de réparation et d'entretien d'immeubles
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;72101803;Nettoyage à la vapeur;Nettoyage à la vapeur/Services de construction, de réparation et d'entretien d'immeubles
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;72101900;Finition intérieure;Finition intérieure/Services de construction, de réparation et d'entretien d'immeubles
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;72101902;Plâtrage ou pose de cloisons sèches;Plâtrage ou pose de cloisons sèches/Services de construction, de réparation et d'entretien d'immeubles
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;72101903;Charpenterie de finition ou ébénisterie;Charpenterie de finition ou ébénisterie/Services de construction, de réparation et d'entretien d'immeubles
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;72102000;Travaux de revêtement, de calfeutrage, de protection contre les intempéries, d'imperméabilisation et de protection contre l'incendie;Travaux de revêtement, de calfeutrage, de protection contre les intempéries, d'imperméabilisation et de protection contre l'incendie/Services de construction, de réparation et d'entretien d'immeubles
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;72102001;Calfeutrage;Calfeutrage/Services de construction, de réparation et d'entretien d'immeubles
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;72102002;Revêtement ou enrobage de plastique de matériaux structurels;Revêtement ou enrobage de plastique de matériaux structurels/Services de construction, de réparation et d'entretien d'immeubles
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;72102003;Enrobage ou enduisage de matériaux structurels en métal, en bois ou en béton;Enrobage ou enduisage de matériaux structurels en métal, en bois ou en béton/Services de construction, de réparation et d'entretien d'immeubles
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;72102004;Imperméabilisation;Imperméabilisation/Services de construction, de réparation et d'entretien d'immeubles
